Bank,Year End,Cash and due from banks,Security agree to be resold,Trading liabilities,Derivative product liabilities,Net tangible assets,Total equity gross minority interest,Goodwill and other intangible assets
Barclays,2025,"229,752,000","150,110,000","57,737,000","240,808,000","69,500,000","78,236,000","8,284,000"
Barclays,2024,"210,184,000","146,507,000","56,908,000","279,415,000","63,546,000","72,481,000","8,275,000"
Barclays,2023,"224,634,000","151,725,000","58,669,000","250,044,000","63,410,000","71,864,000","7,794,000"
Barclays,2022,"256,351,000","165,457,000","72,924,000","289,620,000","60,053,000","69,260,000","8,239,000"
HSBC,2025,"22,274,180","221,836,295","39,164,374","176,829,975","137,623,968","152,900,156","9,744,257"
HSBC,2024,"15,204,725","201,571,554","37,993,455","211,068,721","137,751,616","153,462,367","9,884,268"
HSBC,2023,"30,748,411","197,863,811","45,042,755","184,178,238","135,594,257","151,102,220","9,796,030"
HSBC,2022,"22,312,484","210,776,643","43,439,654","237,363,568","138,229,089","153,830,883","9,485,007"
NatWest,2025,"166,000","80,327,000","7,738,000","53,974,000","35,307,000","42,613,000","7,292,000"
NatWest,2024,"59,000","75,528,000","10,748,000","72,082,000","31,762,000","39,378,000","7,588,000"
NatWest,2023,"255,000","59,585,000","10,509,000","72,395,000","29,543,000","37,188,000","7,614,000"
NatWest,2022,"229,000","44,187,000","10,321,000","94,047,000","29,372,000","36,496,000","7,116,000"
Lloyd's,2025,0,"71,967,000","1,956,000","16,132,000","39,075,000","47,867,000","8,593,000"
Lloyd's,2024,0,"69,942,000","2,417,000","21,676,000","37,528,000","45,888,000","8,188,000"
Lloyd's,2023,0,"56,184,000","1,574,000","20,149,000","38,858,000","47,365,000","8,306,000"
Lloyd's,2022,"658,000","44,865,000","1,540,000","24,042,000","36,052,000","43,911,000","7,615,000"
Santander,2025,"23,585,647","58,492,230","60,694,954","49,122,577","74,962,459","98,435,481","15,110,878"
Santander,2024,"21,228,201","51,159,600","53,668,898","51,653,856","65,577,320","88,707,331","15,917,844"
Santander,2023,"23,011,526","48,442,673","48,228,616","50,524,309","65,475,344","90,337,984","17,220,730"
Santander,2022,"31,873,725","59,254,234","42,680,677","65,622,063","62,480,270","92,436,818","16,533,653"
Standard Chartered,2025,"57,799,420","62,545,536",0,"50,705,524","35,603,301","40,581,369","4,632,369"
Standard Chartered,2024,"50,640,115","68,796,392",0,"65,499,242","35,995,690","40,932,237","4,622,077"
Standard Chartered,2023,"54,840,355","64,208,833",0,"43,979,760","34,316,310","39,501,844","4,874,873"
Standard Chartered,2022,"48,395,216","53,568,403",0,"58,029,737","36,379,267","41,544,979","4,874,990"
